,GPA_HIGHSCHOOL,Prior_Hours,ReFirstMathCrs,ReFirstMathCrsGrade,UWFHour1stTerm,UWFGPA1stTerm,Drop1stYear
436,3.54,0,MAC1147,C_range,10,2.72,Retained
437,3.89,27,MAC2311/UP,B_range,12,3.3,Retained
438,2.8,3,MAC1147,C_range,13,2.946153846,Retained
439,3.47,0,MAC1147,A_range,15,2.646666667,Retained
440,3.99,0,MAC1105/C,Failed,14,1.95,Retained
441,3.24,9,MAC1147,C_range,15,2.113333333,Retained
442,4.71,30,MAC2311/UP,A_range,13,3.769230769,Retained
443,4.66,13,NoAttempt,NoAttempt,13,4,Retained
444,3.57,0,MAC1105/C,B_range,13,2.676923077,Retained
445,3.53,14,MAC2311/UP,C_range,14,1.492857143,Dropped
446,4.3,25,MAC1140/14,A_range,12,3.366666667,Retained
447,3.2,0,MAC1147,B_range,13,2.838461538,Retained
448,3.52,0,MAC1147,B_range,14,2.714285714,Dropped
449,4.08,0,MAC1105/C,C_range,12,2.141666667,Retained
450,4,23,MAC1147,Failed,12,2.35,Retained
451,4.28,22,MAC2311/UP,B_range,14,3.735714286,Retained
452,3.57,32,MAC1147,Failed,12,0.25,Dropped
453,3.37,7,MAC1147,Withdrawn,11,0.481818182,Dropped
454,3.26,3,MAC1105/C,B_range,16,2.56875,Retained
455,5.06,28,MAC1140/14,A_range,13,4,Retained
456,3.56,4,MAC2311/UP,A_range,15,4,Dropped
457,4.5,57,NoAttempt,NoAttempt,14,4,Retained
458,3.37,10,NoAttempt,NoAttempt,13,2.084615385,Retained
459,4.55,89,NoAttempt,NoAttempt,15,1.853333333,Retained
460,3.8,43,NoAttempt,NoAttempt,14,3.528571429,Retained
461,4.26,12,MAC2311/UP,Withdrawn,11,3,Retained
462,4.06,30,MAC1147,B_range,14,3.5,Retained
463,4.48,51,MAC2311/UP,C_range,13,3.176923077,Retained
464,4.14,21,MAC1147,A_range,13,3.376923077,Retained
465,3.2,19,MAC1147,C_range,12,2.858333333,Retained
466,4.2,10,NoAttempt,NoAttempt,13,3.861538462,Retained
467,4.25,18,MAC1147,A_range,14,3.785714286,Retained
468,3.59,0,NoAttempt,NoAttempt,13,3.069230769,Dropped
469,3.61,13,MAC1147,A_range,13,3.530769231,Retained
470,4.15,9,MAC1147,B_range,12,3.258333333,Retained
471,4.24,21,MAC2311/UP,A_range,16,3.8875,Retained
472,3,0,MAC1147,A_range,16,3.94375,Retained
473,3.88,3,MAC1147,A_range,16,3.36875,Retained
474,3.06,9,MAC1147,C_range,13,1.9,Retained
475,4.5,30,MAC1147,A_range,12,3.975,Retained
476,3.2,56,MAC1105/C,C_range,14,2.142857143,Retained
477,3.7,29,MAC2311/UP,B_range,14,2.514285714,Retained
478,2.61,6,MAC1147,Withdrawn,4,1.425,Dropped
479,4.21,18,MAC1147,A_range,13,3.538461538,Retained
480,4.6,19,MAC1147,A_range,15,3.72,Retained
481,3.81,0,MAC1147,B_range,12,3,Retained
482,2.38,3,NoAttempt,NoAttempt,12,1.75,Dropped
483,3.46,18,MAC1147,B_range,14,3.364285714,Retained
484,4.48,10,NoAttempt,NoAttempt,13,3.769230769,Retained
485,3.1,0,MAC1147,B_range,12,3.158333333,Retained
486,3.67,0,MAC1147,Withdrawn,10,2.4,Retained
487,4.1,22,MAC1105/C,A_range,14,3.85,Dropped
488,3.22,0,MAC1105/C,Failed,13,2.476923077,Retained
489,3.74,12,MAC1147,B_range,13,2.469230769,Retained
490,3.63,0,MAC1105/C,B_range,14,3.171428571,Retained
491,2.03,0,MAC1105/C,Failed,4,1.3,Dropped
492,4.19,21,MAC2311/UP,A_range,10,3.4,Retained
493,3.48,14,MAC1105/C,Failed,15,2.22,Dropped
494,3.91,12,MAC1147,B_range,14,3.2,Retained
495,3.21,0,MAC1105/C,Withdrawn,1,2,Dropped
496,4.24,25,MAC2311/UP,Failed,14,2.228571429,Retained
497,4.15,0,MAC2311/UP,A_range,14,3.571428571,Retained
498,3.49,0,MAC1105/C,A_range,15,4,Retained
499,4.4,53,NoAttempt,NoAttempt,11,3.536363636,Retained
500,3.88,3,MAC1105/C,B_range,13,2.792307692,Retained
501,4.18,35,NoAttempt,NoAttempt,13,2.615384615,Retained
502,3.77,12,NoAttempt,NoAttempt,14,2.407142857,Retained
